"","type","title","description","time_frame","population","measure","nct_id","group_id","non_inferiority_type","p_value","p_value_desc","method","arm","param_type","param_value","ci_percent","ci_n_sides","ci_lower_limit","ci_upper_limit","non_inferiority_desc"
"71","Secondary","Total Postsurgical Opioid Consumption Through 336 Hours (Day 14)",NA,"0-336 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Total Postsurgical Opioid Consumption Through 336 Hours (Day 14)Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)MED mgLeast Squares MeanStandard ErrorParticipantsMeasure","NCT03176459","O2","Superiority",".0542",NA,"ANCOVA","IR Bupivacaine","Least squares treatment difference","-19.6",NA,"2-Sided",NA,NA,NA
"72","Secondary","Time to First Rescue Medication Use","The time to a subject's first use of an opioid medication for breakthrough pain after the end of surgery","From the end of surgery","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Time to First Rescue Medication UseThe time to a subject's first use of an opioid medication for breakthrough pain after the end of surgeryEfficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)hoursMedianFull RangeParticipantsMeasure","NCT03176459","O1","Superiority","0.7536",NA,"Regression, Cox","EXPAREL 266mg + Immediate Release (IR) Bupivacaine",NA,NA,NA,NA,NA,NA,NA
"73","Secondary","Time to First Rescue Medication Use","The time to a subject's first use of an opioid medication for breakthrough pain after the end of surgery","From the end of surgery","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Time to First Rescue Medication UseThe time to a subject's first use of an opioid medication for breakthrough pain after the end of surgeryEfficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)hoursMedianFull RangeParticipantsMeasure","NCT03176459","O2","Superiority","0.7536",NA,"Regression, Cox","IR Bupivacaine",NA,NA,NA,NA,NA,NA,NA
"74","Secondary","Opioid-Free Subjects Through 72 Hours","Percentage of subjects who did not received an opioid rescue medication starting from the end of surgery through 72 hours","0-72 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Opioid-Free Subjects Through 72 HoursPercentage of subjects who did not received an opioid rescue medication starting from the end of surgery through 72 hoursEfficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)percent of opioid-free participantsNumberParticipantsMeasure","NCT03176459","O1","Superiority","0.3609",NA,"Regression, Logistic","EXPAREL 266mg + Immediate Release (IR) Bupivacaine","Odds Ratio (OR)","1.14",NA,"2-Sided",NA,NA,NA
"75","Secondary","Opioid-Free Subjects Through 72 Hours","Percentage of subjects who did not received an opioid rescue medication starting from the end of surgery through 72 hours","0-72 hours","Efficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)","Opioid-Free Subjects Through 72 HoursPercentage of subjects who did not received an opioid rescue medication starting from the end of surgery through 72 hoursEfficacy analysis set (also the modified intent-to-treat [mITT] analysis set) included all randomized subjects in the safety analysis set who underwent C-section and who also met the study criteria for correct TAP placement, local anesthetic dosing, and a multimodal post-operative analgesic regimen, with analysis based on randomized treatment (regardless of treatment received)percent of opioid-free participantsNumberParticipantsMeasure","NCT03176459","O2","Superiority","0.3609",NA,"Regression, Logistic","IR Bupivacaine","Odds Ratio (OR)","1.14",NA,"2-Sided",NA,NA,NA
"76","Primary","PCA (Patient Controlled Analgesia) Usage","Will measure the amount of PCA use for the first 48 hours after surgery.","48 hours post operatively","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","PCA (Patient Controlled Analgesia) UsageWill measure the amount of PCA use for the first 48 hours after surgery.The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Secondary","Oral Pain Medications","the amount of post operative oral narcotic is measured post op","48 hours postoperatively","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","Oral Pain Medicationsthe amount of post operative oral narcotic is measured post opThe study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Secondary","Total IV (Intravenous) Narcotic Used","the total amount of IV narcotic is measured that is given during post op period prior to discharge","participants will be followed for the duration of hospital stay, an expected average of 3 days","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","Total IV (Intravenous) Narcotic Usedthe total amount of IV narcotic is measured that is given during post op period prior to dischargeThe study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Secondary","Total Oral Narcotic Used",NA,"participants will be followed for the duration of hospital stay, an expected average of 3 days","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","Total Oral Narcotic UsedThe study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Secondary","Length of Stay",NA,"participants will be followed for the duration of hospital stay, an expected average of 3 days",NA,"Length of StaydaysNumberParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Secondary","Return of Bowel Function",NA,"participants will be followed for the duration of hospital stay, an expected average of 3 days, and the timing of return of bowel function returning will be recorded","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","Return of Bowel FunctionThe study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Secondary","Readmission",NA,"30 days post operative readmission","No one readmitted.","ReadmissionNo one readmitted.ParticipantsCount of ParticipantsParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Secondary","Toradol Use",NA,"participants will be followed for the duration of hospital stay, an expected average of 3 days",NA,"Toradol UseParticipantsCount of ParticipantsParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Secondary","Ofirmev",NA,"participants will be followed for the duration of hospital stay, an expected average of 3 days, and the amount of ofirmev used during admission will be recorded","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","OfirmevThe study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Secondary","Nausea Medication",NA,"The amount of nausea medicine used 48 hours post op was recorded","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","Nausea MedicationThe study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Secondary","Foley Catheter Removal",NA,"participants will be followed for the duration of hospital stay, an expected average of 3 days, the timing of foley catheter removal will be recorded","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","Foley Catheter RemovalThe study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Secondary","Postoperative Pain","The investigators will talk to the patient after surgery immediately post operatively Post Operative Day (POD) #3-5 and POD #13-15 and ask the patients to rate their pain on a scale of 1-10.","POD #3-5 and POD #13-15","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","Postoperative PainThe investigators will talk to the patient after surgery immediately post operatively Post Operative Day (POD) #3-5 and POD #13-15 and ask the patients to rate their pain on a scale of 1-10.The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Secondary","Post Operative Satisfaction","The investigators will ask the patient to rate their satisfaction with pain control.","POD #3-5 and POD #13-15","The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.","Post Operative SatisfactionThe investigators will ask the patient to rate their satisfaction with pain control.The study personnel have left the institution or are unreachable. efforts were made to contact the PI/study team members but were unsuccessful. Efforts were also made to get data from Mercy IRB and patient records staff. These staff did not have the information to find such data. Available data from the publication has been entered, but no other data is available and all efforts to locate the data have been exhausted.ParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Secondary","Home Oral Narcotic Use","The investigators will ask the patients how many of their narcotic pain pills they used after surgery up to the POD #13-15","POD #13-15",NA,"Home Oral Narcotic UseThe investigators will ask the patients how many of their narcotic pain pills they used after surgery up to the POD #13-15ParticipantsCount of ParticipantsParticipantsMeasure","NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Other Pre-specified","NG (Nasogastric) Placement","We recorded if an NG was placed immediately post operatively","POD #0 if NG was placed",NA,NA,"NCT02052557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Primary","Total Morphine Equivalents Consumed","Measured as overall intake of any drugs in the opioid class (Morphine Equivalent Dosing)","up to 72 hours post surgery",NA,"Total Morphine Equivalents ConsumedMeasured as overall intake of any drugs in the opioid class (Morphine Equivalent Dosing)MEqMedianInter-Quartile RangeParticipantsMeasure","NCT03682224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Secondary","VAS Pain Score","Using a 10 point visual analog scale (VAS) score. The score ranges from 0 to 10. '0' represents no pain and '10' represents worst pain.","In-hospital until discharge, approximately 3 days, will be collected each time before dispensing pain medications",NA,"VAS Pain ScoreUsing a 10 point visual analog scale (VAS) score. The score ranges from 0 to 10. '0' represents no pain and '10' represents worst pain.score on a scaleMedianInter-Quartile RangeParticipantsMeasure","NCT03682224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Secondary","Treatment Cost","All direct cost from the date of surgery until discharge","In-hospital Costs until discharge, approximately 3 days",NA,"Treatment CostAll direct cost from the date of surgery until dischargeUnited States DollarsMedianInter-Quartile RangeParticipantsMeasure","NCT03682224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Secondary","Pharmacy Cost","Median In-hospital pharmacy cost","In-hospital until discharge, approximately 3 days",NA,"Pharmacy CostMedian In-hospital pharmacy costUnited States DollarsMedianInter-Quartile RangeParticipantsMeasure","NCT03682224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Secondary","Mortality","Any death occurring during primary hospital stay or prior to 30 days post surgery","Up to 30 days post surgery",NA,"MortalityAny death occurring during primary hospital stay or prior to 30 days post surgeryParticipantsCount of ParticipantsParticipantsMeasure","NCT03682224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Other Pre-specified","Hospital Stay",NA,"Length of hospital stay - from admission to discharge, approximately 3 days",NA,"Hospital StayDaysMedianInter-Quartile RangeParticipantsMeasure","NCT03682224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Other Pre-specified","Pneumothorax","Documented pnuemothorax","In-hospital until discharge, approximately 3 days",NA,"PneumothoraxDocumented pnuemothoraxParticipantsCount of ParticipantsParticipantsMeasure","NCT03682224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Other Pre-specified","Prolonged Air Leak","Number of patients who had air leak more than 5 days post-surgery","> 5 days to 7 days",NA,"Prolonged Air LeakNumber of patients who had air leak more than 5 days post-surgeryParticipantsCount of ParticipantsParticipantsMeasure","NCT03682224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Other Pre-specified","Atrial Fibrillation/Other Arrhythmia","Post-op arrhythmia","In-hospital until discharge, approximately 3 days",NA,"Atrial Fibrillation/Other ArrhythmiaPost-op arrhythmiaParticipantsCount of ParticipantsParticipantsMeasure","NCT03682224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
